"id","taxonID","acceptedNameUsageID","scientificName","acceptedNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","specificEpithet","infraspecificEpithet","taxonRank","scientificNameAuthorship","taxonomicStatus","taxonRemarks","modified","language","license","rightsHolder","accessRights","datasetName","vernaculaNameEN","vernaculaNameFR","localities","Bryoquel_version"
1,1,1,"Anthoceros agrestis","Anthoceros agrestis Paton",,,,"|Anthocerotae|||Anthocerotaceae|Anthoceros|agrestis|",,"Anthocerotae",,,"Anthocerotaceae","Anthoceros","agrestis","","Espèce","Paton","Accepté","Infraspecific Epithet Authorship : Hepaticae","2014-12-02",,,,,,"field hornwort","anthocérote des champs","Québec, Labrador",3.3
2,2,2,"Anthoceros macounii","Anthoceros macounii M. Howe",,,,"|Anthocerotae|||Anthocerotaceae|Anthoceros|macounii|",,"Anthocerotae",,,"Anthocerotaceae","Anthoceros","macounii","","Espèce","M. Howe","Accepté","","2014-12-02",,,,,,"Macouns hornwort","anthocérote discrète","Québec, Labrador",3.3
3,3,3,"Notothylas orbicularis","Notothylas orbicularis (Schwein.) Sull.",,,,"|Anthocerotae|||Anthocerotaceae|Notothylas|orbicularis|",,"Anthocerotae",,,"Anthocerotaceae","Notothylas","orbicularis","","Espèce","(Schwein.) Sull.","Accepté","","2014-12-02",,,,,,"short-horned liverwort","anthocérote orbiculaire","Québec, Labrador",3.3
4,4,4,"Phaeoceros laevis subsp. carolinianus","Phaeoceros laevis (L.) Prosk. subsp. carolinianus (Michx.) Prosk.",,,,"|Anthocerotae|||Anthocerotaceae|Phaeoceros|laevis|carolinianus",,"Anthocerotae",,,"Anthocerotaceae","Phaeoceros","laevis","carolinianus","Sous-espèce","(Michx.) Prosk.","Accepté","Infraspecific Epithet Authorship : (Michx.) Prosk.","2014-12-02",,,,,,"Carolina hornwort","anthocérote commune","Québec, Labrador",3.3
7,7,7,"Anastrophyllum assimile","Anastrophyllum assimile (Hook.) Stephani",,,,"|Hepaticae|||Anastrophyllacea|Anastrophyllum|assimile|",,"Hepaticae",,,"Anastrophyllacea","Anastrophyllum","assimile","","Espèce","(Hook.) Stephani","Accepté","","2014-12-02",,,,,,"similar notchwort","gorgone lustrée","Québec, Labrador",3.3
12,12,12,"Anastrophyllum michauxii","Anastrophyllum michauxii (F. Weber) H. Buch ex A. Evans",,,,"|Hepaticae|||Anastrophyllacea|Anastrophyllum|michauxii|",,"Hepaticae",,,"Anastrophyllacea","Anastrophyllum","michauxii","","Espèce","(F. Weber) H. Buch ex A. Evans","Accepté","","2014-12-02",,,,,,"Michauxs notchwort","gorgone ailée","Québec, Labrador",3.3
16,16,16,"Aneura maxima","Aneura maxima (Schiffn.) Stephani",,,,"|Hepaticae|||Aneuraceae|Aneura|maxima|",,"Hepaticae",,,"Aneuraceae","Aneura","maxima","","Espèce","(Schiffn.) Stephani","Accepté","","2014-12-02",,,,,,"large greasewort","grand aneura","Québec, Labrador",3.3
17,17,17,"Aneura pinguis","Aneura pinguis (L.) Dumort.",,,,"|Hepaticae|||Aneuraceae|Aneura|pinguis|",,"Hepaticae",,,"Aneuraceae","Aneura","pinguis","","Espèce","(L.) Dumort.","Accepté","","2014-12-02",,,,,,"common greasewort","aneura gras","Québec, Labrador",3.3
18,18,18,"Anthelia julacea","Anthelia julacea (L.) Dumort.",,,,"|Hepaticae|||Antheliaceae|Anthelia|julacea|",,"Hepaticae",,,"Antheliaceae","Anthelia","julacea","","Espèce","(L.) Dumort.","Accepté","","2014-12-02",,,,,,"alpine silverwort","anthélie bleue","Québec, Labrador",3.3
19,19,19,"Anthelia juratzkana","Anthelia juratzkana (Limpr.) Trevis.",,,,"|Hepaticae|||Antheliaceae|Anthelia|juratzkana|",,"Hepaticae",,,"Antheliaceae","Anthelia","juratzkana","","Espèce","(Limpr.) Trevis.","Accepté","","2014-12-02",,,,,,"Juratzkas silverwort","anthélie des neiges","Québec, Labrador",3.3
