id	locationID	locality	establishmentMeans
7	1	Québec	
8	2	Québec	
11	3	Québec	
12	4	Québec	
13	5	Québec	
14	6	Québec	
17	7	Québec	
18	8	Québec	
19	9	Québec	
20	10	Québec	
23	11	Québec	
25	12	Québec	
26	13	Québec	
27	14	Québec	
28	15	Québec	
29	16	Québec	
30	17	Québec	
31	18	Québec	
32	19	Québec	
33	20	Québec	
36	21	Québec	
37	22	Québec	
38	23	Québec	
39	24	Québec	
41	25	Québec	
42	26	Québec	
46	27	Québec	
47	28	Québec	
49	29	Québec	
50	30	Québec	
51	31	Québec	
52	32	Québec	
54	33	Québec	
58	34	Québec	
63	35	Québec	
68	36	Québec	
69	37	Québec	
72	38	Québec	
74	39	Québec	
76	40	Québec	
79	41	Québec	
81	42	Québec	
84	43	Québec	
87	44	Québec	
93	45	Québec	
96	46	Québec	
102	47	Québec	
103	48	Québec	
105	49	Québec	
106	50	Québec	
109	51	Québec	
111	52	Québec	
112	53	Québec	
116	54	Québec	
117	55	Québec	
120	56	Québec	
121	57	Québec	
122	58	Québec	
123	59	Québec	
124	60	Québec	
1135	61	Québec	
134	62	Québec	
136	63	Québec	
138	64	Québec	
141	65	Québec	
143	66	Québec	
145	68	Québec	
146	69	Québec	
149	70	Québec	
155	71	Québec	
156	72	Québec	
158	73	Québec	
159	74	Québec	
162	75	Québec	
164	76	Québec	
165	77	Québec	
166	78	Québec	
167	79	Québec	
169	80	Québec	
170	81	Québec	
172	82	Québec	
173	83	Québec	
179	84	Québec	
180	85	Québec	
181	86	Québec	
183	87	Québec	
184	88	Québec	
186	89	Québec	
187	90	Québec	
190	91	Québec	
191	92	Québec	
192	93	Québec	
193	94	Québec	
194	95	Québec	
196	96	Québec	
201	97	Québec	
202	98	Québec	
204	99	Québec	
205	100	Québec	
206	101	Québec	
210	102	Québec	
220	103	Québec	
222	104	Québec	
230	105	Québec	
231	106	Québec	
235	107	Québec	
236	108	Québec	
239	109	Québec	
245	110	Québec	
246	111	Québec	
247	112	Québec	
248	113	Québec	
249	114	Québec	
254	115	Québec	
256	116	Québec	
260	117	Québec	
264	118	Québec	
265	119	Québec	
267	120	Québec	
270	121	Québec	
276	122	Québec	
278	123	Québec	
279	124	Québec	
281	125	Québec	
282	126	Québec	
285	127	Québec	
286	128	Québec	
287	129	Québec	
288	130	Québec	
289	131	Québec	
297	132	Québec	
299	133	Québec	
300	134	Québec	
301	135	Québec	
302	136	Québec	
305	137	Québec	
307	138	Québec	
309	139	Québec	
310	140	Québec	
313	141	Québec	
314	142	Québec	
315	143	Québec	
318	144	Québec	
319	145	Québec	
320	146	Québec	
321	147	Québec	
323	148	Québec	
324	149	Québec	
327	150	Québec	
329	151	Québec	
330	152	Québec	
332	153	Québec	
334	154	Québec	
335	155	Québec	
338	156	Québec	
340	157	Québec	
341	158	Québec	
342	159	Québec	
343	160	Québec	
345	161	Québec	
349	162	Québec	
351	163	Québec	
352	164	Québec	
355	165	Québec	
356	166	Québec	
357	167	Québec	
358	168	Québec	
359	169	Québec	
362	170	Québec	
370	171	Québec	
373	172	Québec	
374	173	Québec	
377	174	Québec	
378	175	Québec	
379	176	Québec	
381	177	Québec	
383	178	Québec	
384	179	Québec	
389	180	Québec	
392	181	Québec	
393	182	Québec	
394	183	Québec	
395	184	Québec	
399	185	Québec	
402	186	Québec	
403	187	Québec	
405	188	Québec	
409	189	Québec	
411	190	Québec	
413	191	Québec	
415	192	Québec	
416	193	Québec	
417	194	Québec	
419	195	Québec	
421	196	Québec	
422	197	Québec	
423	198	Québec	
428	199	Québec	
430	200	Québec	
432	201	Québec	
433	202	Québec	
434	203	Québec	
436	204	Québec	
439	205	Québec	
440	206	Québec	
441	207	Québec	
443	208	Québec	
445	209	Québec	
447	210	Québec	
448	211	Québec	
450	212	Québec	
451	213	Québec	
452	214	Québec	
453	215	Québec	
454	216	Québec	
455	217	Québec	
456	218	Québec	
458	219	Québec	
459	220	Québec	
462	221	Québec	
463	222	Québec	
464	223	Québec	
465	224	Québec	
467	225	Québec	
469	226	Québec	
470	227	Québec	
471	228	Québec	
472	229	Québec	
473	230	Québec	
475	231	Québec	
478	232	Québec	
479	233	Québec	
482	234	Québec	
483	235	Québec	
488	236	Québec	
489	237	Québec	
490	238	Québec	
492	239	Québec	
494	240	Québec	
495	241	Québec	
496	242	Québec	
500	243	Québec	
505	244	Québec	
506	245	Québec	
507	246	Québec	
508	247	Québec	
510	248	Québec	
511	249	Québec	
518	250	Québec	
520	251	Québec	
521	252	Québec	
529	253	Québec	
532	254	Québec	
533	255	Québec	
541	256	Québec	
543	257	Québec	
545	258	Québec	
549	259	Québec	
551	260	Québec	
552	261	Québec	
555	262	Québec	
557	263	Québec	
560	264	Québec	
562	265	Québec	
563	266	Québec	
565	267	Québec	
569	268	Québec	
573	269	Québec	
575	270	Québec	
576	271	Québec	
577	272	Québec	
578	273	Québec	
581	274	Québec	
582	275	Québec	
585	276	Québec	
587	277	Québec	
589	278	Québec	
590	279	Québec	
591	280	Québec	
593	281	Québec	
595	282	Québec	
597	283	Québec	
601	284	Québec	
602	285	Québec	
603	286	Québec	
607	287	Québec	
608	288	Québec	
609	289	Québec	
612	290	Québec	
613	291	Québec	
614	292	Québec	
615	293	Québec	
616	294	Québec	
617	295	Québec	
618	296	Québec	
619	297	Québec	
620	298	Québec	
621	299	Québec	
625	300	Québec	
626	301	Québec	
627	302	Québec	
636	303	Québec	
638	304	Québec	
641	305	Québec	
642	306	Québec	
644	307	Québec	
646	308	Québec	
647	309	Québec	
649	310	Québec	
650	311	Québec	
652	312	Québec	
653	313	Québec	
654	314	Québec	
655	315	Québec	
656	316	Québec	
657	317	Québec	
658	318	Québec	
659	319	Québec	
660	320	Québec	
661	321	Québec	
664	322	Québec	
665	323	Québec	
666	324	Québec	
667	325	Québec	
668	326	Québec	
673	327	Québec	
674	328	Québec	
675	329	Québec	
680	330	Québec	
681	331	Québec	
684	332	Québec	
694	333	Québec	
696	334	Québec	
702	335	Québec	
703	336	Québec	
705	337	Québec	
707	338	Québec	
708	339	Québec	
710	340	Québec	
711	341	Québec	
712	342	Québec	
713	343	Québec	
717	344	Québec	
719	345	Québec	
724	346	Québec	
725	347	Québec	
727	348	Québec	
728	349	Québec	
729	350	Québec	
730	351	Québec	
731	352	Québec	
732	353	Québec	
733	354	Québec	
734	355	Québec	
736	356	Québec	
737	357	Québec	
738	358	Québec	
740	359	Québec	
741	360	Québec	
742	361	Québec	
743	362	Québec	
744	363	Québec	
745	364	Québec	
748	365	Québec	
749	366	Québec	
751	367	Québec	
753	368	Québec	
754	369	Québec	
755	370	Québec	
757	371	Québec	
758	372	Québec	
760	373	Québec	
761	374	Québec	
762	375	Québec	
763	376	Québec	
764	377	Québec	
765	378	Québec	
767	379	Québec	
773	380	Québec	
774	381	Québec	
775	382	Québec	
777	383	Québec	
779	384	Québec	
783	385	Québec	
785	386	Québec	
786	387	Québec	
787	388	Québec	
788	389	Québec	
790	390	Québec	
793	391	Québec	
795	392	Québec	
797	393	Québec	
799	394	Québec	
801	395	Québec	
803	396	Québec	
805	397	Québec	
807	398	Québec	
809	399	Québec	
811	400	Québec	
812	401	Québec	
814	402	Québec	
816	403	Québec	
822	404	Québec	
823	405	Québec	
824	406	Québec	
825	407	Québec	
826	408	Québec	
827	409	Québec	
828	410	Québec	
830	411	Québec	
833	412	Québec	
834	413	Québec	
835	414	Québec	
836	415	Québec	
837	416	Québec	
840	417	Québec	
842	418	Québec	
845	419	Québec	
848	420	Québec	
851	421	Québec	
852	422	Québec	
859	423	Québec	
860	424	Québec	
861	425	Québec	
862	426	Québec	
865	427	Québec	
866	428	Québec	
867	429	Québec	
868	430	Québec	
869	431	Québec	
875	432	Québec	
878	433	Québec	
880	434	Québec	
883	435	Québec	
885	436	Québec	
890	437	Québec	
891	438	Québec	
896	439	Québec	
897	440	Québec	
899	441	Québec	
901	442	Québec	
902	443	Québec	
903	444	Québec	
904	445	Québec	
907	446	Québec	
908	447	Québec	
909	448	Québec	
910	449	Québec	
912	450	Québec	
913	451	Québec	
914	452	Québec	
920	453	Québec	
921	454	Québec	
923	455	Québec	
924	456	Québec	
925	457	Québec	
926	458	Québec	
927	459	Québec	
928	460	Québec	
930	461	Québec	
931	462	Québec	
933	463	Québec	
934	464	Québec	
935	465	Québec	
937	466	Québec	
940	467	Québec	
941	468	Québec	
943	469	Québec	
944	470	Québec	
946	471	Québec	
947	472	Québec	
948	473	Québec	
951	474	Québec	
953	475	Québec	
955	476	Québec	
959	477	Québec	
962	478	Québec	
963	479	Québec	
964	480	Québec	
965	481	Québec	
966	482	Québec	
967	483	Québec	
977	484	Québec	
978	485	Québec	
979	486	Québec	
984	487	Québec	
985	488	Québec	
986	489	Québec	
987	490	Québec	
988	491	Québec	
989	492	Québec	
992	493	Québec	
993	494	Québec	
995	495	Québec	
997	496	Québec	
1007	497	Québec	
1008	498	Québec	
1009	499	Québec	
1013	500	Québec	
1015	501	Québec	
1016	502	Québec	
1017	503	Québec	
1019	504	Québec	
1	505	Québec	
2	506	Québec	
3	507	Québec	
4	508	Québec	
16	509	Québec	
22	510	Québec	
24	511	Québec	
34	512	Québec	
35	513	Québec	
40	514	Québec	
43	515	Québec	
44	516	Québec	
45	517	Québec	
48	518	Québec	
53	519	Québec	
55	520	Québec	
56	521	Québec	
57	522	Québec	
59	523	Québec	
60	524	Québec	
61	525	Québec	
62	526	Québec	
64	527	Québec	
66	528	Québec	
70	529	Québec	
71	530	Québec	
75	531	Québec	
78	532	Québec	
82	533	Québec	
83	534	Québec	
85	535	Québec	
89	536	Québec	
90	537	Québec	
91	538	Québec	
94	539	Québec	
95	540	Québec	
97	541	Québec	
98	542	Québec	
99	543	Québec	
100	544	Québec	
107	545	Québec	
108	546	Québec	
110	547	Québec	
113	548	Québec	
114	549	Québec	
115	550	Québec	
118	551	Québec	
119	552	Québec	
125	553	Québec	
126	554	Québec	
127	555	Québec	
129	556	Québec	
140	557	Québec	
142	558	Québec	
1143	559	Québec	
152	560	Québec	
153	561	Québec	
157	562	Québec	
160	563	Québec	
161	564	Québec	
163	565	Québec	
171	566	Québec	
175	567	Québec	
176	568	Québec	
177	569	Québec	
178	570	Québec	
182	571	Québec	
185	572	Québec	
188	573	Québec	
189	574	Québec	
198	576	Québec	
199	577	Québec	
203	578	Québec	
207	579	Québec	
208	580	Québec	
209	581	Québec	
211	582	Québec	
212	583	Québec	
213	584	Québec	
214	585	Québec	
215	586	Québec	
216	587	Québec	
217	588	Québec	
218	589	Québec	
219	590	Québec	
221	591	Québec	
224	592	Québec	
225	593	Québec	
226	594	Québec	
227	595	Québec	
228	596	Québec	
229	597	Québec	
232	598	Québec	
233	599	Québec	
234	600	Québec	
238	601	Québec	
240	602	Québec	
241	603	Québec	
242	604	Québec	
243	605	Québec	
250	606	Québec	
252	607	Québec	
258	608	Québec	
261	609	Québec	
262	610	Québec	
263	611	Québec	
268	612	Québec	
269	613	Québec	
272	614	Québec	
273	615	Québec	
274	616	Québec	
275	617	Québec	
280	618	Québec	
283	619	Québec	
292	620	Québec	
293	621	Québec	
294	622	Québec	
295	623	Québec	
296	624	Québec	
298	625	Québec	
303	626	Québec	
304	627	Québec	
306	628	Québec	
308	629	Québec	
311	630	Québec	
312	631	Québec	
316	632	Québec	
317	633	Québec	
322	634	Québec	
326	635	Québec	
328	636	Québec	
331	637	Québec	
333	638	Québec	
336	639	Québec	
339	640	Québec	
354	641	Québec	
361	642	Québec	
363	643	Québec	
364	644	Québec	
367	645	Québec	
368	646	Québec	
369	647	Québec	
371	648	Québec	
375	649	Québec	
376	650	Québec	
380	651	Québec	
382	652	Québec	
386	653	Québec	
387	654	Québec	
388	655	Québec	
390	656	Québec	
391	657	Québec	
397	658	Québec	
401	659	Québec	
407	660	Québec	
410	661	Québec	
412	662	Québec	
414	663	Québec	
418	664	Québec	
420	665	Québec	
424	666	Québec	
427	667	Québec	
429	668	Québec	
431	669	Québec	
435	670	Québec	
437	671	Québec	
438	672	Québec	
442	673	Québec	
444	674	Québec	
446	675	Québec	
449	676	Québec	
460	677	Québec	
466	678	Québec	
474	679	Québec	
476	680	Québec	
480	681	Québec	
484	682	Québec	
485	683	Québec	
486	684	Québec	
487	685	Québec	
491	686	Québec	
493	687	Québec	
498	688	Québec	
502	689	Québec	
503	690	Québec	
509	691	Québec	
512	692	Québec	
513	693	Québec	
514	694	Québec	
515	695	Québec	
516	696	Québec	
517	697	Québec	
522	698	Québec	
523	699	Québec	
525	700	Québec	
526	701	Québec	
527	702	Québec	
528	703	Québec	
530	704	Québec	
531	705	Québec	
534	706	Québec	
535	707	Québec	
536	708	Québec	
537	709	Québec	
540	710	Québec	
542	711	Québec	
544	712	Québec	
553	713	Québec	
554	714	Québec	
556	715	Québec	
559	716	Québec	
561	717	Québec	
564	718	Québec	
567	719	Québec	
568	720	Québec	
570	721	Québec	
571	722	Québec	
572	723	Québec	
579	724	Québec	
580	725	Québec	
583	726	Québec	
586	727	Québec	
588	728	Québec	
592	729	Québec	
598	730	Québec	
605	731	Québec	
606	732	Québec	
611	733	Québec	
622	734	Québec	
628	735	Québec	
629	736	Québec	
630	737	Québec	
631	738	Québec	
632	739	Québec	
635	740	Québec	
640	741	Québec	
643	742	Québec	
651	743	Québec	
662	744	Québec	
663	745	Québec	
670	746	Québec	
671	747	Québec	
672	748	Québec	
676	749	Québec	
677	750	Québec	
678	751	Québec	
685	752	Québec	
688	753	Québec	
691	754	Québec	
693	755	Québec	
695	756	Québec	
698	757	Québec	
699	758	Québec	
700	759	Québec	
706	760	Québec	
709	761	Québec	
714	762	Québec	
715	763	Québec	
716	764	Québec	
718	765	Québec	
720	766	Québec	
721	767	Québec	
723	768	Québec	
726	769	Québec	
739	770	Québec	
750	771	Québec	
752	772	Québec	
756	773	Québec	
769	774	Québec	
771	775	Québec	
776	776	Québec	
784	777	Québec	
789	778	Québec	
791	779	Québec	
818	780	Québec	
820	781	Québec	
829	782	Québec	
831	783	Québec	
