id	taxonID	acceptedNameUsageID	scientificName	acceptedNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	taxonomicStatus	taxonRemarks	modified	language	license	rightsHolder	accessRights	datasetName
1	1	1	Anthoceros agrestis	Anthoceros agrestis Paton				|Anthocerotae|||Anthocerotaceae|Anthoceros|agrestis|		Anthocerotae			Anthocerotaceae	Anthoceros	agrestis		Espèce	Paton	Accepté	Infraspecific Epithet Authorship : Hepaticae	2014-12-02					
2	2	2	Anthoceros macounii	Anthoceros macounii M. Howe				|Anthocerotae|||Anthocerotaceae|Anthoceros|macounii|		Anthocerotae			Anthocerotaceae	Anthoceros	macounii		Espèce	M. Howe	Accepté		2014-12-02					
3	3	3	Notothylas orbicularis	Notothylas orbicularis (Schwein.) Sull.				|Anthocerotae|||Anthocerotaceae|Notothylas|orbicularis|		Anthocerotae			Anthocerotaceae	Notothylas	orbicularis		Espèce	(Schwein.) Sull.	Accepté		2014-12-02					
4	4	4	Phaeoceros laevis subsp. carolinianus	Phaeoceros laevis (L.) Prosk. subsp. carolinianus (Michx.) Prosk.				|Anthocerotae|||Anthocerotaceae|Phaeoceros|laevis|carolinianus		Anthocerotae			Anthocerotaceae	Phaeoceros	laevis	carolinianus	Sous-espèce	(Michx.) Prosk.	Accepté	Infraspecific Epithet Authorship : (Michx.) Prosk.	2014-12-02					
7	7	7	Anastrophyllum assimile	Anastrophyllum assimile (Hook.) Stephani				|Hepaticae|||Anastrophyllacea|Anastrophyllum|assimile|		Hepaticae			Anastrophyllacea	Anastrophyllum	assimile		Espèce	(Hook.) Stephani	Accepté		2014-12-02					
8	8	8	Anastrophyllum cavifolium	Orthocaulis cavifolius H. Buch & S.W. Arnell														(H. Buch & S.W. Arnell) Lammes	Synonyme		2015-01-27					
11	11	11	Anastrophyllum hellerianum	Sphenolobus hellerianus (Nees ex Lindenb.) Steph.														(Nees ex Lindenb.) R.M. Schust.	Synonyme	However, it is clear that the genus Sphenolobus (Lindberg 1874: 369) Berggren (1898: 22), in the past synonymized underAnastrophyllum, should be reinstated as a well-supported genus.	2014-12-16					
12	12	12	Anastrophyllum michauxii	Anastrophyllum michauxii (F. Weber) H. Buch ex A. Evans				|Hepaticae|||Anastrophyllacea|Anastrophyllum|michauxii|		Hepaticae			Anastrophyllacea	Anastrophyllum	michauxii		Espèce	(F. Weber) H. Buch ex A. Evans	Accepté		2014-12-02					
13	13	13	Anastrophyllum minutum	Sphenolobus minutus (Schreb.) Berggr.														(Schreb.) R.M. Schust.	Synonyme	However, it is clear that the genus Sphenolobus (Lindberg 1874: 369) Berggren (1898: 22), in the past synonymized underAnastrophyllum, should be reinstated as a well-supported genus.	2014-12-16					
14	14	14	Anastrophyllum saxicola	Sphenolobus saxicola (Schrad.) Steph.														(Schrad.) R.M. Schust.	Synonyme	However, it is clear that the genus Sphenolobus (Lindberg 1874: 369) Berggren (1898: 22), in the past synonymized under Anastrophyllum, should be reinstated as a well-supported genus.	2014-12-16					
