id	vernacularName	source	language	countryCode	isPreferredName	taxonRemarks
1	field hornwort		Anglais		True	
1	anthocérote des champs		Français		True	
2	Macouns hornwort		Anglais		True	
2	anthocérote discrète		Français		True	
2	anthocérote de Macoun		Français			
3	short-horned liverwort		Anglais		True	
3	anthocérote orbiculaire		Français		True	
3	notothylas orbiculaire		Français			
4	Carolina hornwort		Anglais		True	
4	anthocérote commune		Français		True	
4	phéocéros de Caroline		Français			
7	similar notchwort		Anglais		True	
7	gorgone lustrée		Français		True	
7	anastrophylle assimilé		Français			
8	hollow-leaved notchwort		Anglais		True	
8	gorgone à feuilles creuses		Français		True	
11	Hellers notchwort		Anglais		True	
11	gorgone des forêts		Français		True	
11	anastrophylle de Heller		Français			
12	Michauxs notchwort		Anglais		True	
12	gorgone ailée		Français		True	
12	anastrophylle de Michaux		Français			
13	comb notchwort		Anglais		True	
13	petite gorgone		Français		True	
13	anastrophylle menu		Français			
13	jongermanne menue		Français			
14	curled notchwort		Anglais		True	
14	gorgone des rochers		Français		True	
14	anastrophylle saxicole		Français			
15	wedge notchwort		Anglais		True	
15	gorgone des tourbières		Français		True	
16	large greasewort		Anglais		True	
16	grand aneura		Français		True	
16	aneure très grande		Français			
17	common greasewort		Anglais		True	
17	aneura gras		Français		True	
17	aneure grasse		Français			
17	aneure épais		Français			
17	jongermanne grasse		Français			
18	alpine silverwort		Anglais		True	
18	anthélie bleue		Français		True	
18	anthélie alpine		Français			
18	jongermanne chaton		Français			
19	Juratzkas silverwort		Anglais		True	
19	anthélie des neiges		Français		True	
20	revolute rustwort		Anglais		True	
20	marsupelle révolutée		Français		True	
22	arnellie arctique		Français		True	
23	thin starwort		Anglais		True	
23	astérelle gracieuse		Français		True	
23	astérelle mince		Français			
24	delicate starwort		Anglais		True	
24	astérelle délicate		Français		True	
24	astérelle tendre		Français			
25	Atlantic pawwort		Anglais		True	
25	barbille basanée		Français		True	
25	barbilophozie atlantique		Français			
26	trunk pawwort		Anglais		True	
26	barbille atténuée		Français		True	
26	barbilophozie mince		Français			
26	jongermanne atténuée		Français			
27	bearded pawwort		Anglais		True	
27	barbille commune		Français		True	
27	barbilophozie barbue		Français			
27	jongermanne barbue		Français			
28	Binsteads pawwort		Anglais		True	
28	barbille nordique		Français		True	
28	barbilophozie de Binstead		Français			
29	Floerkes pawwort		Anglais		True	
29	barbille dressée		Français		True	
29	barbilophozie commune		Français			
30	Hatchers pawwort		Anglais		True	
30	barbille bipolaire		Français		True	
30	barbilophozie de Hatcher		Français			
31	Kunzes pawwort		Anglais		True	
31	barbille bilobée		Français		True	
31	barbilophozie des marécages		Français			
32	greater pawwort		Anglais		True	
32	grande barbille		Français		True	
32	barbilophozie faux-lycopode		Français			
32	lophozie fauxlycopode		Français			
33	four-fingered pawwort		Anglais		True	
33	barbille patte-de-lion		Français		True	
33	barbilophozie à quatre lobes		Français			
34	naked whipwort		Anglais		True	
34	bazzanie dénudée		Français		True	
34	bazzanie nue		Français			
35	three-toothed whipwort		Anglais		True	
35	petite bazzanie		Français		True	
35	bazzanie à trois créneaux		Français			
35	jongermanne à trois créneaux		Français			
36	three-lobed whipwort		Anglais		True	
36	bazzanie trilobée		Français		True	
36	bazzanie à trois lobes		Français			
36	mastigobryum à trois lobes		Français			
36	mastigobry trilobé		Français			
36	jongermanne à trois lobes		Français			
37	common kettlewort		Anglais		True	
37	blaise commun		Français		True	
37	blasie naine		Français			
37	blasie fluette		Français			
37	blasie exiguë		Français			
38	northern hairy threadwort		Anglais		True	
38	ciliaire nordique		Français		True	
39	hairy threadwort		Anglais		True	
39	ciliaire doigts-de-fée		Français		True	
39	blépharostome à feuilles velues		Français			
39	jongermanne capillaire		Français			
40	common pouchwort		Anglais		True	
40	calypogée terrestre		Français		True	
40	calypogéie fissile		Français			
40	jongermanne fendue		Français			
41	Meylans pouchwort		Anglais		True	
41	calypogée variable		Français		True	
41	calypogéie à stipules entières		Français			
42	Muellers pouchwort		Anglais		True	
42	calypogée commune		Français		True	
42	calypogéie de Mueller		Français			
42	calypogée de Müller		Français			
43	Nees pouchwort		Anglais		True	
43	calypogée ambiguë		Français		True	
43	calypogéie de Nees		Français			
44	bog pouchwort		Anglais		True	
44	calypogée des sphaignes		Français		True	
44	calypogéie des tourbières		Français			
45	Swedish pouchwort		Anglais		True	
45	calypogée boréale		Français		True	
45	calypogéie de Suède		Français			
46	snow pincewort		Anglais			
46	céphalozie ambiguë		Français		True	
47	two-horned pincerwort		Anglais		True	
47	célaphozie cornue		Français		True	
47	céphalozie bicuspide		Français			
47	jongermanne à deux pointes		Français			
48	chain pincerwort		Anglais		True	
48	céphalozie chaînon		Français		True	
48	céphalophozie à chaînes		Français			
49	forcipated pincerwort		Anglais		True	
49	céphalozie bec-de-perroquet		Français		True	
49	céphalozie connivente		Français			
50	pale pincerwort		Anglais		True	
50	céphalozie pâle		Français		True	
51	scissors pincerwort		Anglais		True	
51	célaphozie ciseaux		Français		True	
52	moon-leaved pincerwort		Anglais		True	
52	célaphozie feuille-de-lune		Français		True	
52	céphalozie à feuilles lunaires		Français			
53	bog pincerwort		Anglais		True	
53	célaphozie des marais		Français		True	
54	blunt pincerwort		Anglais		True	
54	célaphozie trompeuse		Français		True	
54	céphalozie mousse		Français			
55	spreading threadwort		Anglais		True	
55	céphalozielle étalée		Français		True	
55	céphalozielle divariquée		Français			
55	jongermanne divariquée		Français			
56	spurred threadwort		Anglais		True	
56	céphalozielle à éperon		Français		True	
56	céphalozielle éperonnée		Français			
57	Lake Grimsel threadwort		Anglais		True	
57	céphalozielle sombre		Français		True	
57	céphalozielle du lac Grimsel		Français			
58	Hampes threadwort		Anglais		True	
58	céphalozielle des rochers		Français		True	
58	céphalozielle de Hampe		Français			
59	red threadwort		Anglais		True	
59	céphalozielle rouge		Français		True	
60	céphalozielle bois-pourri		Français		True	
61	spiny threadwort		Anglais		True	
61	céphalozielle à feuilles étroites		Français		True	
61	céphalozielle épineuse		Français			
62	hooked threadwort		Anglais		True	
62	céphalozielle à crochets		Français		True	
63	arctic threadwort		Anglais		True	
63	céphalozielle variable		Français		True	
64	bifid crestwort		Anglais		True	
64	tourmentine élégante		Français		True	
66	lesser liverwort		Anglais		True	
66	tourmentine mineure		Français		True	
66	lophocolée naine		Français			
68	pale liverwort		Anglais		True	
68	tourmentine pâle		Français		True	
68	chiloscyphe pâle		Français			
69	fragile liverwort		Anglais		True	
69	tourmentine fragile		Français		True	
69	chiloscyphe fragile		Français			
70	square-leaved liverwort		Anglais		True	
70	tourmentine mâle		Français		True	
70	chiloscyphe polyanthe		Français			
70	chyloscyphe à fleurs nombreuses		Français			
70	jongermanne à fruits nombreux		Français			
70	jongermanne à plusieurs fleurs		Français			
71	brook square-leaved liverwort		Anglais		True	
71	tourmentine des rivages		Français		True	
71	chiloscyphe des ruisseaux		Français			
72	variable-leaved crestwort		Anglais		True	
72	tourmentine variable		Français		True	
72	lophocolée à feuilles différentes		Français			
74	bog notchwort		Anglais		True	
74	filandre des tourbières		Français			
74	cladopodielle flottante		Français			
75	Holts notchwort		Anglais		True	
75	filandre des forêts		Français			
75	cladopodielle de Holt		Français			
76	hyaline liverwort		Anglais		True	
76	morgane évanescente		Français		True	
76	athalamie hyaline		Français			
78	Biddlecomes pouncewort		Anglais		True	
78	dentelle des forêts		Français		True	
78	cololejeunée de Biddlecome		Français			
79	cat-tongue liverwort		Anglais		True	
79	coprinet peau-de-lézard		Français		True	
81	white earwort		Anglais		True	
81	fausse-scapanie blanchâtre		Français		True	
81	diplophylle blanchâtre		Français			
81	jungermannie blanchâtre		Français			
81	jongermanne blanchâtre		Français			
82	sharp-pointed earwort		Anglais		True	
82	fausse-scapanie apiculée		Français		True	
82	diplophylle pointue		Français			
83	blunted earwort		Anglais		True	
83	fausse-scapanie obtuse		Français		True	
84	yew-leaved earwort		Anglais		True	
84	fausse-scapanie commune		Français		True	
84	diplophylle des montagnes		Français			
85	Schuster`s pouchwort		Anglais		True	
85	calypogée opaque		Français		True	
85	calypogéie de Schuster		Français			
87	clubwort		Anglais		True	
87	fausse-céphalozielle cuivrée		Français		True	
89	pitted frillwort		Anglais		True	
89	chiffonée commune		Français		True	
89	fossombronie alvéolée		Français			
90	acid frillwort		Anglais		True	
90	chiffonée à crêtes		Français		True	
90	fossombronie acide		Français			
91	Asa Grays scalewort		Anglais		True	
91	frullanie symbiotique		Français		True	
91	frullanie tamaris		Français			
93	Bolanders scalewort		Anglais		True	
93	frullanie chenille		Français		True	
93	frullanie de Bolander		Français			
94	York scalewort		Anglais		True	
94	frullanie commune		Français		True	
94	frullanie de York		Français			
